team,url,name,detail,SKU,RoyalBlue,price
Minnesota Timberwolves,http://shop.neweracap.com/style/NBA-Black-White-59FIFTY-Cap/20875785,Minnesota Timberwolves NBA Black White 59FIFTY Cap,"Made of 70% Acrylic, Woven, 30% Wool, Woven",20875785,Black,$34.99
Los Angeles Clippers,http://shop.neweracap.com/style/NBA-Black-White-59FIFTY-Cap/20875776,Los Angeles Clippers NBA Black White 59FIFTY Cap,"Made of 70% Acrylic, Woven, 30% Wool, Woven",20875776,Black,$34.99
Denver Nuggets,http://shop.neweracap.com/style/NBA-Black-White-59FIFTY-Cap/20875771,Denver Nuggets NBA Black White 59FIFTY Cap,"Made of 70% Acrylic, Woven, 30% Wool, Woven",20875771,Black,$34.99
Boston Celtics,http://shop.neweracap.com/style/NBA-Black-White-59FIFTY-Cap/20875765,Boston Celtics NBA Black White 59FIFTY Cap,"Made of 70% Acrylic, Woven, 30% Wool, Woven",20875765,Black,$34.99
Atlanta Hawks,http://shop.neweracap.com/style/NBA-Black-White-59FIFTY-Cap/20875764,Atlanta Hawks NBA Black White 59FIFTY Cap,"Made of 70% Acrylic, Woven, 30% Wool, Woven",20875764,Black,$34.99
Boston Celtics,http://shop.neweracap.com/style/NBA-Faded-59FIFTY-Cap/20873853,Boston Celtics NBA LP Faded 59FIFTY Cap,"Made of 100% Washed Cotton, Woven",20873853,Green,$35.99
Atlanta Hawks,http://shop.neweracap.com/style/NBA-Faded-59FIFTY-Cap/20873852,Atlanta Hawks NBA LP Faded 59FIFTY Cap,"Made of 100% Washed Cotton, Woven",20873852,Red,$35.99
Portland Trail Blazers,http://shop.neweracap.com/style/NBA-Black-White-59FIFTY-Cap/20875803,Portland Trail Blazers NBA Black White 59FIFTY Cap,"Made of 70% Acrylic, Woven, 30% Wool, Woven",20875803,Black,$34.99
Phoenix Suns,http://shop.neweracap.com/style/NBA-Black-White-59FIFTY-Cap/20875801,Phoenix Suns NBA Black White 59FIFTY Cap,"Made of 70% Acrylic, Woven, 30% Wool, Woven",20875801,Black,$34.99
Utah Jazz,http://shop.neweracap.com/style/NBA-Black-White-59FIFTY-Cap/20875795,Utah Jazz NBA Black White 59FIFTY Cap,"Made of 70% Acrylic, Woven, 30% Wool, Woven",20875795,Black,$34.99
Orlando Magic,http://shop.neweracap.com/style/NBA-Black-White-59FIFTY-Cap/20875793,Orlando Magic NBA Black White 59FIFTY Cap,"Made of 80% Wool, Woven, 20% Polyester, Woven",20875793,Black,$34.99
Oklahoma City Thunder,http://shop.neweracap.com/style/NBA-Black-White-59FIFTY-Cap/20875791,Oklahoma City Thunder NBA Black White 59FIFTY Cap,"Made of 70% Acrylic, Woven, 30% Wool, Woven",20875791,Black,$34.99
