team,url,name,detail,SKU,color,price
Los Angeles Dodgers,http://shop.neweracap.com/style/MLB-Jr-Team-Front-Neo-39THIRTY-Cap/20812521,Los Angeles Dodgers MLB Jr Team Front Neo 39THIRTY Cap,"Made of 50% Cotton, Woven, 50% Polyester, Woven",20812521,RoyalBlue/Gray,$21.99
San Francisco Giants,http://shop.neweracap.com/style/MLB-Junior-Team-Classic-39THIRTY-Cap/20570108,San Francisco Giants MLB Junior Team Classic 39THIRTY Cap,"Made of 95% Polyester, Woven, 5% Spandex, Woven",20570108,Black,$21.99
Pittsburgh Pirates,http://shop.neweracap.com/style/MLB-Junior-Team-Classic-39THIRTY-Cap/20570104,Pittsburgh Pirates MLB Junior Team Classic 39THIRTY Cap,"Made of 95% Polyester, Woven, 5% Spandex, Woven",20570104,Black,$21.99
Washington Nationals,http://shop.neweracap.com/style/MLB-Jr-Team-Front-Neo-39THIRTY-Cap/20812560,Washington Nationals MLB Jr Team Front Neo 39THIRTY Cap,"Made of 50% Cotton, Woven, 50% Polyester, Woven",20812560,Red/Navy,$21.99
Philadelphia Phillies,http://shop.neweracap.com/style/MLB-Jr-Team-Front-Neo-39THIRTY-Cap/20812542,Philadelphia Phillies MLB Jr Team Front Neo 39THIRTY Cap,"Made of 50% Cotton, Woven, 50% Polyester, Woven",20812542,Red/RoyalBlue,$21.99
Washington Nationals,http://shop.neweracap.com/style/MLB-Junior-Team-Classic-39THIRTY-Cap/20570122,Washington Nationals MLB Junior Team Classic 39THIRTY Cap,"Made of 95% Polyester, Woven, 5% Spandex, Woven",20570122,Red/Navy,$21.99
Texas Rangers,http://shop.neweracap.com/style/MLB-Junior-Team-Classic-39THIRTY-Cap/20570115,Texas Rangers MLB Junior Team Classic 39THIRTY Cap,"Made of 95% Polyester, Woven, 5% Spandex, Woven",20570115,Red,$21.99
St. Louis Cardinals,http://shop.neweracap.com/style/MLB-Junior-Team-Classic-39THIRTY-Cap/20570112,St. Louis Cardinals MLB Junior Team Classic 39THIRTY Cap,"Made of 95% Polyester, Woven, 5% Spandex, Woven",20570112,Navy/Red,$21.99
St. Louis Cardinals,http://shop.neweracap.com/style/MLB-Junior-Team-Classic-39THIRTY-Cap/20570111,St. Louis Cardinals MLB Junior Team Classic 39THIRTY Cap,"Made of 95% Polyester, Woven, 5% Spandex, Woven",20570111,Navy,$21.99
San Francisco Giants,http://shop.neweracap.com/style/MLB-Junior-Team-Classic-39THIRTY-Cap/20570107,San Francisco Giants MLB Junior Team Classic 39THIRTY Cap,"Made of 95% Polyester, Woven, 5% Spandex, Woven",20570107,Black/Orange,$21.99
San Diego Padres,http://shop.neweracap.com/style/MLB-Junior-Team-Classic-39THIRTY-Cap/20570105,San Diego Padres MLB Junior Team Classic 39THIRTY Cap,"Made of 95% Polyester, Woven, 5% Spandex, Woven",20570105,Brown,$21.99
Philadelphia Phillies,http://shop.neweracap.com/style/MLB-Junior-Team-Classic-39THIRTY-Cap/20570101,Philadelphia Phillies MLB Junior Team Classic 39THIRTY Cap,"Made of 95% Polyester, Woven, 5% Spandex, Woven",20570101,Red,$21.99
Philadelphia Phillies,http://shop.neweracap.com/style/MLB-Junior-Team-Classic-39THIRTY-Cap/20570100,Philadelphia Phillies MLB Junior Team Classic 39THIRTY Cap,"Made of 95% Polyester, Woven, 5% Spandex, Woven",20570100,RoyalBlue/Red,$21.99
Milwaukee Brewers,http://shop.neweracap.com/style/MLB-Junior-Team-Classic-39THIRTY-Cap/20570087,Milwaukee Brewers MLB Junior Team Classic 39THIRTY Cap,"Made of 97% Polyester, Woven, 3% Spandex, Woven",20570087,LightNavy,$21.99
Miami Marlins,http://shop.neweracap.com/style/MLB-Junior-Team-Classic-39THIRTY-Cap/20570085,Miami Marlins MLB Junior Team Classic 39THIRTY Cap,"Made of 95% Polyester, Woven, 5% Spandex, Woven",20570085,Orange,$21.99
Boston Red Sox,http://shop.neweracap.com/style/MLB-Junior-Team-Classic-39THIRTY-Cap/20570059,Boston Red Sox MLB Junior Team Classic 39THIRTY Cap,"Made of 95% Polyester, Woven, 5% Spandex, Woven",20570059,Navy,$21.99
Baltimore Orioles,http://shop.neweracap.com/style/MLB-Junior-Team-Classic-39THIRTY-Cap/20570058,Baltimore Orioles MLB Junior Team Classic 39THIRTY Cap,"Made of 95% Polyester, Woven, 5% Spandex, Woven",20570058,Black/Orange,$21.99
Baltimore Orioles,http://shop.neweracap.com/style/MLB-Junior-Team-Classic-39THIRTY-Cap/20570057,Baltimore Orioles MLB Junior Team Classic 39THIRTY Cap,"Made of 95% Polyester, Woven, 5% Spandex, Woven",20570057,White/Black/Orange,$21.99
Baltimore Orioles,http://shop.neweracap.com/style/MLB-Junior-Team-Classic-39THIRTY-Cap/20570056,Baltimore Orioles MLB Junior Team Classic 39THIRTY Cap,"Made of 95% Polyester, Woven, 5% Spandex, Woven",20570056,Black/Orange,$21.99
Atlanta Braves,http://shop.neweracap.com/style/MLB-Junior-Team-Classic-39THIRTY-Cap/20570055,Atlanta Braves MLB Junior Team Classic 39THIRTY Cap,"Made of 95% Polyester, Woven, 5% Spandex, Woven",20570055,Navy,$21.99
Arizona Diamondbacks,http://shop.neweracap.com/style/MLB-Junior-Team-Classic-39THIRTY-Cap/20570052,Arizona Diamondbacks MLB Junior Team Classic 39THIRTY Cap,"Made of 95% Polyester, Woven, 5% Spandex, Woven",20570052,Red,$21.99
Los Angeles Angels,http://shop.neweracap.com/style/MLB-Junior-Team-Classic-39THIRTY-Cap/20570050,Los Angeles Angels MLB Junior Team Classic 39THIRTY Cap,"Made of 95% Polyester, Woven, 5% Spandex, Woven",20570050,Red,$21.99
Tampa Bay Rays,http://shop.neweracap.com/style/MLB-Jr-Team-Front-Neo-39THIRTY-Cap/20812558,Tampa Bay Rays MLB Jr Team Front Neo 39THIRTY Cap,"Made of 50% Cotton, Woven, 50% Polyester, Woven",20812558,Navy/LightBlue,$21.99
San Francisco Giants,http://shop.neweracap.com/style/MLB-Jr-Team-Front-Neo-39THIRTY-Cap/20812550,San Francisco Giants MLB Jr Team Front Neo 39THIRTY Cap,"Made of 50% Cotton, Woven, 50% Polyester, Woven",20812550,Black/Orange,$21.99
