team,url,name,detail,SKU,color,price
Stanford Cardinal,http://shop.neweracap.com/style/NCAA-Gridiron-39THIRTY-Cap/20767860,Stanford Cardinal NCAA Gridiron 39THIRTY Cap,"Made of 60% Acrylic, Woven, 30% Polyester, Woven, 8% Wool, Woven, 2% Spandex, Woven",20767860,Gray/Black,$24.99
Memphis Tigers,http://shop.neweracap.com/style/NCAA-Gridiron-39THIRTY-Cap/20767834,Memphis Tigers NCAA Gridiron 39THIRTY Cap,"Made of 55% Acrylic, Woven, 30% Polyester, Woven, 10% Wool, Woven, 5% Spandex, Woven",20767834,Gray/Black,$24.99
Colorado State Rams,http://shop.neweracap.com/style/NCAA-Gridiron-39THIRTY-Cap/20767808,Colorado State Rams NCAA Gridiron 39THIRTY Cap,"Made of 55% Acrylic, Woven, 30% Polyester, Woven, 10% Wool, Woven, 5% Spandex, Woven",20767808,Gray/Black,$24.99
Los Angeles Dodgers,http://shop.neweracap.com/style/MLB-2015-All-Star-Game-39THIRTY-Cap/20767638,Los Angeles Dodgers MLB 2015 All Star Game 39THIRTY Cap,"Made of 100% Polyester, Woven",20767638,RoyalBlue/White,$29.99
San Diego Padres,http://shop.neweracap.com/style/MLB-2015-Memorial-Day-39THIRTY-Cap/20755677,San Diego Padres MLB 2015 Memorial Day 39THIRTY Cap,"Made of 95% Polyester, Woven, 5% Spandex, Woven",20755677,Navy,$29.99
Milwaukee Brewers,http://shop.neweracap.com/style/MLB-2015-Memorial-Day-39THIRTY-Cap/20755661,Milwaukee Brewers MLB 2015 Memorial Day 39THIRTY Cap,"Made of 95% Polyester, Woven, 5% Spandex, Woven",20755661,Navy,$29.99
Philadelphia Phillies,http://shop.neweracap.com/style/MLB-2015-Clubhouse-39THIRTY-Cap/20741305,Philadelphia Phillies MLB 2015 Clubhouse 39THIRTY Cap,"Made of 85% Acrylic, Woven, 12% Wool, Woven, 3% Spandex, Woven",20741305,Gray/Red,$24.99
Atlanta Braves,http://shop.neweracap.com/style/MLB-2015-Clubhouse-39THIRTY-Cap/20741254,Atlanta Braves MLB 2015 Clubhouse 39THIRTY Cap,"Made of 60% Acrylic, Woven, 30% Polyester, Woven, 8% Wool, Woven, 2% Spandex, Woven",20741254,Gray/Navy,$24.99
Tampa Bay Rays,http://shop.neweracap.com/style/MLB-NE-Diamond-Era-Gray-Black-White-39THIRTY-Cap/20719173,Tampa Bay Rays MLB NE Diamond Era Gray Black White 39THIRTY Cap,"Made of 100% Polyester, Woven",20719173,Gray,$29.99
Miami Marlins,http://shop.neweracap.com/style/MLB-NE-Diamond-Era-Gray-Black-White-39THIRTY-Cap/20719065,Miami Marlins MLB NE Diamond Era Gray Black White 39THIRTY Cap,"Made of 100% Polyester, Woven",20719065,Gray,$29.99
Milwaukee Brewers,http://shop.neweracap.com/style/MLB-NE-Diamond-Era-Gray-Black-White-39THIRTY-Cap/20719051,Milwaukee Brewers MLB NE Diamond Era Gray Black White 39THIRTY Cap,"Made of 100% Polyester, Woven",20719051,Gray,$29.99
Oakland Athletics,http://shop.neweracap.com/style/MLB-Reflective-Slugger-Diamond-Era-39THIRTY-Cap/20707462,Oakland Athletics MLB Reflective Slugger Diamond Era 39THIRTY Cap,"Made of 100% Polyester, Woven",20707462,"In Stockmodal('Product Availability','.availibilty','/pop/product-availability',550,400);",$29.99
Johnson City Cardinals,http://shop.neweracap.com/style/MiLB-Classic-39THIRTY-Cap/20707399,Johnson City Cardinals MiLB Classic 39THIRTY Cap,"Made of 95% Polyester, Woven, 5% Spandex, Woven",20707399,Red,$29.99
Lakeland Flying Tigers,http://shop.neweracap.com/style/MiLB-Classic-39THIRTY-Cap/20707375,Lakeland Flying Tigers MiLB Classic 39THIRTY Cap,"Made of 95% Polyester, Woven, 5% Spandex, Woven",20707375,Navy,$29.99
Greensboro Grasshoppers,http://shop.neweracap.com/style/MiLB-Classic-39THIRTY-Cap/20707338,Greensboro Grasshoppers MiLB Classic 39THIRTY Cap,"Made of 95% Polyester, Woven, 5% Spandex, Woven",20707338,Charcoal,$29.99
Corpus Christi Hooks,http://shop.neweracap.com/style/MiLB-Classic-39THIRTY-Cap/20707317,Corpus Christi Hooks MiLB Classic 39THIRTY Cap,"Made of 95% Polyester, Woven, 5% Spandex, Woven",20707317,Navy,$29.99
Albuquerque Dukes,http://shop.neweracap.com/style/MiLB-Classic-39THIRTY-Cap/20707303,Albuquerque Dukes MiLB Classic 39THIRTY Cap,"Made of 95% Polyester, Woven, 5% Spandex, Woven",20707303,Black,$29.99
San Francisco Giants,http://shop.neweracap.com/style/MLB-Fashion-Classic-39THIRTY-Cap/20706801,San Francisco Giants MLB Fashion Classic 39THIRTY Cap,"Made of 95% Polyester, Woven, 5% Spandex, Woven",20706801,Red,$29.99
