team,url,name,detail,SKU,color,price
Denver Nuggets,http://shop.neweracap.com/style/NBA-HWC-Youth-Black-White-9FIFTY-Snapback-Cap/20815078,Denver Nuggets NBA HWC Youth Black White 9FIFTY Snapback Cap,"Made of 100% Wool, Woven",20815078,Black,$24.99
Dallas Mavericks,http://shop.neweracap.com/style/NBA-HWC-Youth-Black-White-9FIFTY-Snapback-Cap/20815077,Dallas Mavericks NBA HWC Youth Black White 9FIFTY Snapback Cap,"Made of 100% Wool, Woven",20815077,Black,$24.99
Sacramento Kings,http://shop.neweracap.com/style/NBA-HWC-Infant-My-1st-9FIFTY-Snapback-Cap/20807638,Sacramento Kings NBA HWC Infant My 1st 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20807638,Black/Purple,$24.99
Milwaukee Bucks,http://shop.neweracap.com/style/NBA-HWC-Infant-My-1st-9FIFTY-Snapback-Cap/20807634,Milwaukee Bucks NBA HWC Infant My 1st 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20807634,Black/Green,$24.99
Detroit Pistons,http://shop.neweracap.com/style/NBA-HWC-Infant-My-1st-9FIFTY-Snapback-Cap/20807629,Detroit Pistons NBA HWC Infant My 1st 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20807629,RoyalBlue/Red,$24.99
Cleveland Cavaliers,http://shop.neweracap.com/style/NBA-HWC-Infant-My-1st-9FIFTY-Snapback-Cap/20807628,Cleveland Cavaliers NBA HWC Infant My 1st 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20807628,Cardinal Red/Gold,$24.99
Boston Celtics,http://shop.neweracap.com/style/NBA-HWC-Infant-My-1st-9FIFTY-Snapback-Cap/20807626,Boston Celtics NBA HWC Infant My 1st 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20807626,Kelly Green/Yellow,$24.99
Atlanta Hawks,http://shop.neweracap.com/style/NBA-HWC-Infant-My-1st-9FIFTY-Snapback-Cap/20807625,Atlanta Hawks NBA HWC Infant My 1st 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20807625,Red/Yellow,$24.99
Sacramento Kings,http://shop.neweracap.com/style/NBA-HWC-Youth-Lil-Triangle-Offense-9FIFTY-Snapback-Cap/20807616,Sacramento Kings NBA HWC Youth Lil Triangle Offense 9FIFTY Snapback Cap,"Made of 56% Acrylic, Woven, 44% Wool, Woven",20807616,Heather Gray/Purple,$24.99
Phoenix Suns,http://shop.neweracap.com/style/NBA-HWC-Youth-Lil-Triangle-Offense-9FIFTY-Snapback-Cap/20807614,Phoenix Suns NBA HWC Youth Lil Triangle Offense 9FIFTY Snapback Cap,"Made of 56% Acrylic, Woven, 44% Wool, Woven",20807614,Heather Gray/Purple,$24.99
