team,url,name,detail,SKU,color,price
Chicago Blackhawks,http://shop.neweracap.com/style/NHL-Crackled-Leather-9FIFTY-Snapback-Cap/20883410,Chicago Blackhawks NHL Crackled Leather 9FIFTY Snapback Cap,"Made of 70% Polyester, Woven, 30% Polyurethane",20883410,Black/Metallic Gold,$39.99
New York Rangers,http://shop.neweracap.com/style/NHL-Croc-Visor-9FIFTY-Snapback-Cap/20881101,New York Rangers NHL Croc Visor 9FIFTY Snapback Cap,"Made of 70% Polyester, Woven, 30% Polyurethane",20881101,Gray/Silver,$31.99
New York Islanders,http://shop.neweracap.com/style/NHL-Croc-Visor-9FIFTY-Snapback-Cap/20881099,New York Islanders NHL Croc Visor 9FIFTY Snapback Cap,"Made of 70% Polyester, Woven, 30% Polyurethane",20881099,Gray/Silver,$31.99
Los Angeles Kings,http://shop.neweracap.com/style/NHL-Croc-Visor-9FIFTY-Snapback-Cap/20881097,Los Angeles Kings NHL Croc Visor 9FIFTY Snapback Cap,"Made of 70% Polyester, Woven, 30% Polyurethane",20881097,Gray/Silver,$31.99
Chicago Blackhawks,http://shop.neweracap.com/style/NHL-Croc-Visor-9FIFTY-Snapback-Cap/20881095,Chicago Blackhawks NHL Croc Visor 9FIFTY Snapback Cap,"Made of 70% Polyester, Woven, 30% Polyurethane",20881095,Gray/Silver,$31.99
Florida Panthers,http://shop.neweracap.com/style/NHL-Croc-Visor-9FIFTY-Snapback-Cap/20881093,Florida Panthers NHL Croc Visor 9FIFTY Snapback Cap,"Made of 70% Polyester, Woven, 30% Polyurethane",20881093,Gray/Silver,$31.99
Toronto Maple Leafs,http://shop.neweracap.com/style/NHL-Croc-Visor-9FIFTY-Snapback-Cap/20881091,Toronto Maple Leafs NHL Croc Visor 9FIFTY Snapback Cap,"Made of 70% Polyester, Woven, 30% Polyurethane",20881091,Gray/Silver,$31.99
Buffalo Sabres,http://shop.neweracap.com/style/NHL-Croc-Visor-9FIFTY-Snapback-Cap/20881089,Buffalo Sabres NHL Croc Visor 9FIFTY Snapback Cap,"Made of 70% Polyester, Woven, 30% Polyurethane",20881089,Gray/Silver,$31.99
Chicago Blackhawks,http://shop.neweracap.com/style/NHL-Oversize-Logo-With-Snakeskin-9FIFTY-Snapback-Cap/20881087,Chicago Blackhawks NHL Oversize Logo With Snakeskin 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20881087,Black,$31.99
Boston Red Sox,http://shop.neweracap.com/style/MLB-Local-Sideptach-9FIFTY-Snapback-Cap/20881020,Boston Red Sox MLB Local Sideptach 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20881020,Navy/Scarlet,$31.99
Toronto Blue Jays,http://shop.neweracap.com/style/MLB-Local-Sideptach-9FIFTY-Snapback-Cap/20881019,Toronto Blue Jays MLB Local Sideptach 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20881019,Light Royal/Gray,$31.99
New York Yankees,http://shop.neweracap.com/style/MLB-Local-Sideptach-9FIFTY-Snapback-Cap/20881018,New York Yankees MLB Local Sideptach 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20881018,Blue/Gray,$31.99
Tennessee Titans,http://shop.neweracap.com/style/NFL-Blurred-Trick-9FIFTY-Snapback-Cap/20865649,Tennessee Titans NFL Blurred Trick 9FIFTY Snapback Cap,"Made of 50% Cotton, Woven, 45% Polyester, Woven, 5% Spandex, Woven",20865649,Heather/Navy,$31.99
Tampa Bay Buccaneers,http://shop.neweracap.com/style/NFL-Blurred-Trick-9FIFTY-Snapback-Cap/20865648,Tampa Bay Buccaneers NFL Blurred Trick 9FIFTY Snapback Cap,"Made of 50% Cotton, Woven, 45% Polyester, Woven, 5% Spandex, Woven",20865648,Heather/Red,$31.99
Seattle Seahawks,http://shop.neweracap.com/style/NFL-Blurred-Trick-9FIFTY-Snapback-Cap/20865647,Seattle Seahawks NFL Blurred Trick 9FIFTY Snapback Cap,"Made of 50% Cotton, Woven, 45% Polyester, Woven, 5% Spandex, Woven",20865647,Heather/Navy,$31.99
San Francisco 49ers,http://shop.neweracap.com/style/NFL-Blurred-Trick-9FIFTY-Snapback-Cap/20865646,San Francisco 49ers NFL Blurred Trick 9FIFTY Snapback Cap,"Made of 50% Cotton, Woven, 45% Polyester, Woven, 5% Spandex, Woven",20865646,Heather/Red,$31.99
San Diego Chargers,http://shop.neweracap.com/style/NFL-Blurred-Trick-9FIFTY-Snapback-Cap/20865645,San Diego Chargers NFL Blurred Trick 9FIFTY Snapback Cap,"Made of 50% Cotton, Woven, 45% Polyester, Woven, 5% Spandex, Woven",20865645,Heather/Navy,$31.99
Philadelphia Eagles,http://shop.neweracap.com/style/NFL-Blurred-Trick-9FIFTY-Snapback-Cap/20865643,Philadelphia Eagles NFL Blurred Trick 9FIFTY Snapback Cap,"Made of 50% Cotton, Woven, 45% Polyester, Woven, 5% Spandex, Woven",20865643,Heather/Green,$31.99
New York Jets,http://shop.neweracap.com/style/NFL-Blurred-Trick-9FIFTY-Snapback-Cap/20865641,New York Jets NFL Blurred Trick 9FIFTY Snapback Cap,"Made of 50% Cotton, Woven, 45% Polyester, Woven, 5% Spandex, Woven",20865641,Heather/Green,$31.99
New York Giants,http://shop.neweracap.com/style/NFL-Blurred-Trick-9FIFTY-Snapback-Cap/20865640,New York Giants NFL Blurred Trick 9FIFTY Snapback Cap,"Made of 50% Polyester, Woven, 45% Cotton, Woven, 5% Spandex, Woven",20865640,Heather/RoyalBlue,$31.99
New Orleans Saints,http://shop.neweracap.com/style/NFL-Blurred-Trick-9FIFTY-Snapback-Cap/20865639,New Orleans Saints NFL Blurred Trick 9FIFTY Snapback Cap,"Made of 50% Cotton, Woven, 45% Polyester, Woven, 5% Spandex, Woven",20865639,Heather/Black,$31.99
