team,url,name,SKU,price,color,detail
Atlanta Falcons,http://shop.neweracap.com/Style/NFL-Sideline-Cap/20841678,Atlanta Falcons 2016 Official NFL Sideline 59FIFTY Cap,20841678,$25.99,Black,"Made of 100% Polyester, Woven"
David Ortiz,http://shop.neweracap.com/style/MLB-Youth-Ortiz-On-Field-AC-Patch-59FIFTY-Cap/20854568,"Boston Red Sox ""David Ortiz"" MLB Youth Ortiz On-Field AC Patch 59FIFTY Cap",20854568,$27.99,Navy,"Made of 100% Polyester, Woven"
David Ortiz,http://shop.neweracap.com/style/MLB-Youth-Ortiz-On-Field-AC-Patch-59FIFTY-Cap/20854569,"Boston Red Sox ""David Ortiz"" MLB Youth Ortiz On-Field AC Patch 59FIFTY Cap",20854569,$27.99,Navy,"Made of 100% Wool, Woven"
New York Giants,http://shop.neweracap.com/style/2016-NFL-Kids-Draft-59FIFTY-Cap/20826759,New York Giants 2016 NFL Kids Draft 59FIFTY Cap,20826759,$29.99,RoyalBlue/Heather Gray,"Made of 100% Polyester, Woven"
Miami Dolphins,http://shop.neweracap.com/style/2016-NFL-Kids-Draft-59FIFTY-Cap/20826755,Miami Dolphins 2016 NFL Kids Draft 59FIFTY Cap,20826755,$29.99,Aqua/Heather Gray,"Made of 100% Polyester, Woven"
Cleveland Browns,http://shop.neweracap.com/style/2016-NFL-Kids-Draft-59FIFTY-Cap/20826747,Cleveland Browns 2016 NFL Kids Draft 59FIFTY Cap,20826747,$29.99,Brown/Heather Gray,"Made of 98% Polyester, Woven, 2% Spandex, Woven"
Atlanta Falcons,http://shop.neweracap.com/style/2016-NFL-Kids-Draft-59FIFTY-Cap/20826741,Atlanta Falcons 2016 NFL Kids Draft 59FIFTY Cap,20826741,$29.99,Black/Heather Gray,"Made of 96% Polyester, Woven, 4% Spandex, Woven"
Washington Redskins,http://shop.neweracap.com/style/2016-NFL-Kids-Draft-59FIFTY-Cap/20826770,Washington Redskins 2016 NFL Kids Draft 59FIFTY Cap,20826770,$29.99,Maroon/Heather Gray,"Made of 98% Polyester, Woven, 2% Spandex, Woven"
Tennessee Titans,http://shop.neweracap.com/style/2016-NFL-Kids-Draft-59FIFTY-Cap/20826769,Tennessee Titans 2016 NFL Kids Draft 59FIFTY Cap,20826769,$29.99,Navy/Heather Gray,"Made of 98% Polyester, Woven, 2% Spandex, Woven"
Tampa Bay Buccaneers,http://shop.neweracap.com/style/2016-NFL-Kids-Draft-59FIFTY-Cap/20826768,Tampa Bay Buccaneers 2016 NFL Kids Draft 59FIFTY Cap,20826768,$29.99,Red/Heather Gray,"Made of 98% Polyester, Woven, 2% Spandex, Woven"
